Date,Temp,Time,Rep,Bug,Gender,Weight,Alive
9/12/24,-2.5,240,1,7,F,0.54,N
9/12/24,-2.5,240,1,8,F,0.55,N
9/12/24,-2.5,240,1,9,F,0.45,N
9/12/24,-2.5,240,1,10,F,0.58,Y
9/15/24,-2.5,240,2,1,F,0.43,Y
9/15/24,-2.5,240,2,2,F,0.41,Y
9/15/24,-2.5,240,2,3,F,0.45,Y
9/15/24,-2.5,240,2,4,F,0.44,Y
9/15/24,-2.5,240,2,5,F,0.42,Y
9/15/24,-2.5,240,2,6,F,0.47,Y
9/15/24,-2.5,240,2,7,F,0.47,Y
9/15/24,-2.5,240,2,8,F,0.49,Y
9/15/24,-2.5,240,2,9,F,0.5,Y
9/15/24,-2.5,240,2,10,F,0.41,Y
9/15/24,-2.5,240,3,1,F,0.46,Y
9/15/24,-2.5,240,3,2,F,0.57,Y
9/15/24,-2.5,240,3,3,F,0.43,Y
9/15/24,-2.5,240,3,4,F,0.38,Y
9/15/24,-2.5,240,3,5,F,0.33,Y
10/21/24,-2.5,240,3,6,M,0.2,N
10/21/24,-2.5,240,3,7,M,0.28,Y
10/21/24,-2.5,240,3,8,M,0.29,Y
10/21/24,-2.5,240,3,9,M,0.23,Y
10/21/24,-2.5,240,3,10,M,0.22,N
9/12/24,-2.5,270,1,1,F,0.54,N
9/12/24,-2.5,270,1,2,F,0.54,Y
9/12/24,-2.5,270,1,3,F,0.61,Y
9/12/24,-2.5,270,1,4,F,0.48,N
9/12/24,-2.5,270,1,5,F,0.38,N
9/12/24,-2.5,270,1,6,F,0.45,N
9/12/24,-2.5,270,1,7,F,0.51,Y
9/12/24,-2.5,270,1,8,F,0.45,Y
9/12/24,-2.5,270,1,9,F,0.47,Y
9/12/24,-2.5,270,1,10,F,0.65,Y
9/12/24,-2.5,270,2,1,F,0.45,Y
10/23/24,-2.5,270,2,2,F,0.6,N
10/23/24,-2.5,270,2,3,F,0.67,Y
10/23/24,-2.5,270,2,4,F,0.43,N
10/23/24,-2.5,270,2,5,F,0.7,N
10/23/24,-2.5,270,2,6,F,0.69,N
10/23/24,-2.5,270,2,7,F,0.72,N
10/23/24,-2.5,270,2,8,F,0.52,N
10/23/24,-2.5,270,2,9,F,0.71,N
10/23/24,-2.5,270,2,10,M,0.28,N
9/18/24,-2.5,270,3,1,M,0.24,Y
9/18/24,-2.5,270,3,2,M,0.34,Y
9/18/24,-2.5,270,3,3,M,0.28,Y
9/18/24,-2.5,270,3,4,M,0.32,Y
9/18/24,-2.5,270,3,5,M,0.34,Y
9/18/24,-2.5,270,3,6,F,0.76,N
9/18/24,-2.5,270,3,7,F,0.69,N
9/18/24,-2.5,270,3,8,F,0.49,Y
9/18/24,-2.5,270,3,9,F,0.64,N
9/18/24,-2.5,270,3,10,F,0.44,Y
9/13/24,-2.5,300,1,1,F,0.45,Y
9/13/24,-2.5,300,1,2,F,0.45,Y
9/13/24,-2.5,300,1,3,F,0.52,Y
9/13/24,-2.5,300,1,4,F,0.47,Y
9/13/24,-2.5,300,1,5,F,0.39,Y
9/13/24,-2.5,300,1,6,F,0.49,Y
9/13/24,-2.5,300,1,7,F,0.45,Y
9/13/24,-2.5,300,1,8,F,0.44,N
9/13/24,-2.5,300,1,9,F,0.46,Y
9/13/24,-2.5,300,1,10,F,0.39,Y
9/16/24,-2.5,300,2,1,M,0.28,Y
9/16/24,-2.5,300,2,2,M,0.29,N
9/16/24,-2.5,300,2,3,M,0.3,Y
9/16/24,-2.5,300,2,4,M,0.28,N
9/16/24,-2.5,300,2,5,M,0.29,Y
9/16/24,-2.5,300,2,6,F,0.51,N
9/16/24,-2.5,300,2,7,F,0.58,N
9/16/24,-2.5,300,2,8,F,0.72,N
9/16/24,-2.5,300,2,9,F,0.72,N
9/16/24,-2.5,300,2,10,F,0.55,N
10/22/24,-2.5,300,3,1,F,0.43,Y
10/22/24,-2.5,300,3,2,F,0.57,N
10/22/24,-2.5,300,3,3,F,0.53,Y
10/22/24,-2.5,300,3,4,F,0.47,N
10/22/24,-2.5,300,3,5,F,0.5,Y
10/22/24,-2.5,300,3,6,F,0.65,N
10/22/24,-2.5,300,3,7,F,0.42,N
10/22/24,-2.5,300,3,8,F,0.5,N
10/22/24,-2.5,300,3,9,M,0.23,N
10/22/24,-2.5,300,3,10,M,0.32,Y
9/13/24,-2.5,330,1,1,F,0.36,Y
9/13/24,-2.5,330,1,2,F,0.58,Y
9/13/24,-2.5,330,1,3,F,0.51,Y
9/13/24,-2.5,330,1,4,F,0.38,Y
9/13/24,-2.5,330,1,5,F,0.57,Y
9/13/24,-2.5,330,1,6,F,0.51,Y
9/13/24,-2.5,330,1,7,F,0.4,Y
9/13/24,-2.5,330,1,8,F,0.47,Y
9/13/24,-2.5,330,1,9,F,0.37,Y
9/13/24,-2.5,330,1,10,F,0.55,Y
9/13/24,-2.5,330,2,1,F,0.39,Y
9/13/24,-2.5,330,2,2,F,0.4,Y
9/19/24,-2.5,330,2,3,F,0.52,N
9/19/24,-2.5,330,2,4,F,0.48,Y
9/19/24,-2.5,330,2,5,F,0.56,N
9/19/24,-2.5,330,2,6,F,0.47,Y
9/19/24,-2.5,330,2,7,F,0.49,Y
9/19/24,-2.5,330,2,8,F,0.8,N
9/19/24,-2.5,330,2,9,F,0.78,N
9/19/24,-2.5,330,2,10,F,0.53,Y
9/17/24,-2.5,330,3,1,M,0.25,Y
9/17/24,-2.5,330,3,2,M,0.26,Y
9/17/24,-2.5,330,3,3,M,0.23,Y
9/17/24,-2.5,330,3,4,M,0.24,Y
9/17/24,-2.5,330,3,5,M,0.27,Y
9/17/24,-2.5,330,3,6,F,0.67,N
9/17/24,-2.5,330,3,7,F,0.36,Y
9/17/24,-2.5,330,3,8,F,0.37,N
9/17/24,-2.5,330,3,9,F,0.56,N
9/17/24,-2.5,330,3,10,F,0.7,N
